Université;Pays;Année;Accord;Nombre S7;Nombre S8;Nombre S9;Latitude;Longitude;;;;;;;;;;;;;;;;;
Universidad de Lleida;Espagne;2014-2015;ERASMUS;0;1;0;41,61878;0,57472;;;;;;;;;;;;;;;;;
"Hong Kong University 
";Chine;2015-2016;Bilatéral;0;0;2;22,26861;114,12924;;;;;;;;;;;;;;;;;
University of Georgie;USA;2015-2016;Bilatéral;0;0;1;33,9404278;-83,373049;;;;;;;;;;;;;;;;;
Université Laval;Canada;2015-2016;Bilatéral;0;0;1;46,7815396;-71,2765369;;;;;;;;;;;;;;;;;
Universidad Nacional Agraria La Molina;Pérou;2015-2016;Bilatéral;0;0;0;-12,0880691;76,9466135;;;;;;;;;;;;;;;;;
Universidad Nacional San Marco;Pérou;2015-2016;Bilatéral;0;0;0;-12,0575838;-77,08326;;;;;;;;;;;;;;;;;
Lincoln University;Nouvelle-Zélande;2015-2016;Bilatéral;0;5;0;-43,644314;172,4653325;;;;;;;;;;;;;;;;;
University of Kwazulu-Natal;Afrique du Sud;2015-2016;Bilatéral;0;0;0;-29,8680551;30,978412;;;;;;;;;;;;;;;;;
Universidad Nacional de Quilmes;Argentine;2015-2016;ARFAGRI;0;1;0;-34,7063811;-58,2785207;;;;;;;;;;;;;;;;;
Universidad Nacional del Litoral;Argentine;2015-2016;ARFAGRI;0;3;0;-31,6346852;-60,7051461;;;;;;;;;;;;;;;;;
Universidad Nacional del Sur-Bahia Blanca;Argentine;2015-2016;ARFAGRI;0;1;0;-38,6943186;-62,247165;;;;;;;;;;;;;;;;;
Universidad de Baja California - ENSENADA ;Mexique;2015-2016;MEXFITEC;0;0;0;31,856224;-116,608461;;;;;;;;;;;;;;;;;
Universidad de Guadalajara ;Mexique;2015-2016;MEXFITEC;0;0;1;20,67534065;-103,3589859;;;;;;;;;;;;;;;;;
Universidade Estadual de Londrina;Brésil;2015-2016;BRAFAGRI;0;0;0;23,3249735;-51,201804;;;;;;;;;;;;;;;;;
"Escola Superior de Agricultura ""Luiz de Queiroz"" ESALQ
";Brésil;2015-2016;BRAFAGRI;0;0;0;-22,7075612;-47,6286357;;;;;;;;;;;;;;;;;
Universidade Estadual Paulista Julio de Mesquita Filho - UNESP;Brésil;2015-2016;BRAFITEC;0;0;0;-23,98138809;-48,88452911;;;;;;;;;;;;;;;;;
Universidade Federal Rural de Pernambuco;Brésil;2015-2016;BRAFAGRI;0;0;0;-8,0145172;-34,9508334;;;;;;;;;;;;;;;;;
Universitat Bonn;Allemagne;2015-2016;ERASMUS;0;1;0;50,7054928;7,1298492;;;;;;;;;;;;;;;;;
"Wageningen University
";Pays-bas;2015-2016;ERASMUS;0;0;2;51,985445;5,663212;;;;;;;;;;;;;;;;;
"Norwegian University of Life Sciences 
";Norvège;2015-2016;ERASMUS;0;2;0;59,667874;10,7617344;;;;;;;;;;;;;;;;;
"Corvinus University 
";Hongrie;2015-2016;ERASMUS;0;2;0;47,4863023;19,0580989;;;;;;;;;;;;;;;;;
"Godollo
";Hongrie;2015-2016;ERASMUS;0;1;0;47,5937498;19,3633947;;;;;;;;;;;;;;;;;
"University of Helsinki 
";Finlande;2015-2016;ERASMUS;0;5;0;60,1756483;24,95355;;;;;;;;;;;;;;;;;
Lund University;Suède;2015-2016;ERASMUS;0;1;0;55,7126504;13,2107587;;;;;;;;;;;;;;;;;
"Universita degli Studi di Padoue 
";Italie;2015-2016;ERASMUS;0;3;0;45,4036716;11,8768208;;;;;;;;;;;;;;;;;
"SRUC
";Ecosse;2015-2016;ERASMUS;0;6;0;55,9214073;-3,1770584;;;;;;;;;;;;;;;;;
"Maich 
";Grèce;2015-2016;ERASMUS;0;0;0;35,51124;24,02921;;;;;;;;;;;;;;;;;
Kavala;Grèce;2015-2016;ERASMUS;0;8;0;40,9369224;24,4122766;;;;;;;;;;;;;;;;;
"Boku
";Autriche;2015-2016;ERASMUS;0;6;0;48,2365408;16,3361712;;;;;;;;;;;;;;;;;
Universiteit Gent ;Belgique;2015-2016;ERASMUS;0;1;0;51,0359404;3,7232481;;;;;;;;;;;;;;;;;
Universiteit Leuven ;Belgique;2015-2016;ERASMUS;0;0;0;50,87959;4,70093;;;;;;;;;;;;;;;;;
Czech University ;République Tchèque;2015-2016;ERASMUS;0;4;0;50,1301754;14,3737163;;;;;;;;;;;;;;;;;
Universidad Politecnica de Valence;Espagne;2015-2016;ERASMUS;0;4;0;39,33333;-0,83333;;;;;;;;;;;;;;;;;
Universitad Politecnica de Madrid ;Espagne;2015-2016;ERASMUS;0;2;0;40,4404332;-3,7310299;;;;;;;;;;;;;;;;;
Universidad de Lleida;Espagne;2015-2016;ERASMUS;0;0;0;41,61878;0,57472;;;;;;;;;;;;;;;;;
"Hong Kong University 
";Chine;2016-2017;Bilatéral;0;0;1;22,26861;114,12924;;;;;;;;;;;;;;;;;
University of Georgie;USA;2016-2017;Bilatéral;0;0;0;33,9404278;-83,373049;;;;;;;;;;;;;;;;;
Université Laval;Canada;2016-2017;Bilatéral;0;0;0;46,7815396;-71,2765369;;;;;;;;;;;;;;;;;
Universidad Nacional Agraria La Molina;Pérou;2016-2017;Bilatéral;0;0;0;-12,0880691;76,9466135;;;;;;;;;;;;;;;;;
Universidad Nacional San Marco;Pérou;2016-2017;Bilatéral;0;0;0;-12,0575838;-77,08326;;;;;;;;;;;;;;;;;
Lincoln University;Nouvelle-Zélande;2016-2017;Bilatéral;0;1;0;-43,644314;172,4653325;;;;;;;;;;;;;;;;;
University of Kwazulu-Natal;Afrique du Sud;2016-2017;Bilatéral;0;0;0;-29,8680551;30,978412;;;;;;;;;;;;;;;;;
Universidad Nacional de Quilmes;Argentine;2016-2017;ARFAGRI;0;0;0;-34,7063811;-58,2785207;;;;;;;;;;;;;;;;;
Universidad Nacional del Litoral;Argentine;2016-2017;ARFAGRI;0;1;0;-31,6346852;-60,7051461;;;;;;;;;;;;;;;;;
Universidad Nacional del Sur-Bahia Blanca;Argentine;2016-2017;ARFAGRI;0;1;0;-38,6943186;-62,247165;;;;;;;;;;;;;;;;;
Universidad de Baja California - ENSENADA ;Mexique;2016-2017;MEXFITEC;0;0;0;31,856224;-116,608461;;;;;;;;;;;;;;;;;
Universidad de Guadalajara ;Mexique;2016-2017;MEXFITEC;0;0;0;20,67534065;-103,3589859;;;;;;;;;;;;;;;;;
Universidade Estadual de Londrina;Brésil;2016-2017;BRAFAGRI;0;0;0;23,3249735;-51,201804;;;;;;;;;;;;;;;;;
"Escola Superior de Agricultura ""Luiz de Queiroz"" ESALQ
";Brésil;2016-2017;BRAFAGRI;0;0;0;-22,7075612;-47,6286357;;;;;;;;;;;;;;;;;
Universidade Estadual Paulista Julio de Mesquita Filho - UNESP;Brésil;2016-2017;BRAFITEC;0;0;0;-23,98138809;-48,88452911;;;;;;;;;;;;;;;;;
Universidade Federal Rural de Pernambuco;Brésil;2016-2017;BRAFAGRI;0;0;0;-8,0145172;-34,9508334;;;;;;;;;;;;;;;;;
Institut National Agronomique de Tunis;Tunisie;2016-2017;;0;1;0;36,8305938;10,1829614;;;;;;;;;;;;;;;;;
Universitat Bonn;Allemagne;2016-2017;ERASMUS;0;0;0;50,7054928;7,1298492;;;;;;;;;;;;;;;;;
"Wageningen University
";Pays-bas;2016-2017;ERASMUS;0;2;0;51,985445;5,663212;;;;;;;;;;;;;;;;;
"Norwegian University of Life Sciences 
";Norvège;2016-2017;ERASMUS;0;3;0;59,667874;10,7617344;;;;;;;;;;;;;;;;;
"Corvinus University 
";Hongrie;2016-2017;ERASMUS;0;0;0;47,4863023;19,0580989;;;;;;;;;;;;;;;;;
"Godollo
";Hongrie;2016-2017;ERASMUS;0;2;0;47,5937498;19,3633947;;;;;;;;;;;;;;;;;
"University of Helsinki 
";Finlande;2016-2017;ERASMUS;0;2;0;60,1756483;24,95355;;;;;;;;;;;;;;;;;
Lund University;Suède;2016-2017;ERASMUS;0;0;0;55,7126504;13,2107587;;;;;;;;;;;;;;;;;
"Universita degli Studi di Padoue 
";Italie;2016-2017;ERASMUS;0;3;0;45,4036716;11,8768208;;;;;;;;;;;;;;;;;
"SRUC
";Ecosse;2016-2017;ERASMUS;0;6;0;55,9214073;-3,1770584;;;;;;;;;;;;;;;;;
"Maich 
";Grèce;2016-2017;ERASMUS;0;0;0;35,51124;24,02921;;;;;;;;;;;;;;;;;
Kavala;Grèce;2016-2017;ERASMUS;0;2;0;40,9369224;24,4122766;;;;;;;;;;;;;;;;;
"Boku
";Autriche;2016-2017;ERASMUS;0;2;0;48,2365408;16,3361712;;;;;;;;;;;;;;;;;
Universiteit Gent ;Belgique;2016-2017;ERASMUS;0;0;0;51,0359404;3,7232481;;;;;;;;;;;;;;;;;
Universiteit Leuven ;Belgique;2016-2017;ERASMUS;0;0;0;50,87959;4,70093;;;;;;;;;;;;;;;;;
Czech University ;République Tchèque;2016-2017;ERASMUS;0;2;0;50,1301754;14,3737163;;;;;;;;;;;;;;;;;
Universidad Politecnica de Valence;Espagne;2016-2017;ERASMUS;0;1;0;39,33333;-0,83333;;;;;;;;;;;;;;;;;
Universitad Politecnica de Madrid ;Espagne;2016-2017;ERASMUS;0;0;0;40,4404332;-3,7310299;;;;;;;;;;;;;;;;;
Universidad de Lleida;Espagne;2016-2017;ERASMUS;0;0;0;41,61878;0,57472;;;;;;;;;;;;;;;;;
"Hong Kong University 
";Chine;2017-2018;Bilatéral;0;0;1;22,26861;114,12924;;;;;;;;;;;;;;;;;
University of Georgie;USA;2017-2018;Bilatéral;0;0;0;33,9404278;-83,373049;;;;;;;;;;;;;;;;;
Université Laval;Canada;2017-2018;Bilatéral;0;0;1;46,7815396;-71,2765369;;;;;;;;;;;;;;;;;
St Petersburg Polytechnic University;Russie;2017-2018;Bilatéral;0;1;0;60,005928;30,3767416;;;;;;;;;;;;;;;;;
Universidad Nacional Agraria La Molina;Pérou;2017-2018;Bilatéral;0;0;0;-12,0880691;76,9466135;;;;;;;;;;;;;;;;;
Universidad Nacional San Marco;Pérou;2017-2018;Bilatéral;0;0;0;-12,0575838;-77,08326;;;;;;;;;;;;;;;;;
Lincoln University;Nouvelle-Zélande;2017-2018;Bilatéral;0;0;0;-43,644314;172,4653325;;;;;;;;;;;;;;;;;
University of Kwazulu-Natal;Afrique du Sud;2017-2018;Bilatéral;0;0;0;-29,8680551;30,978412;;;;;;;;;;;;;;;;;
Universidad Nacional de Quilmes;Argentine;2017-2018;ARFAGRI;0;0;0;-34,7063811;-58,2785207;;;;;;;;;;;;;;;;;
Universidad Nacional del Litoral;Argentine;2017-2018;ARFAGRI;0;0;0;-31,6346852;-60,7051461;;;;;;;;;;;;;;;;;
Universidad Nacional del Sur-Bahia Blanca;Argentine;2017-2018;ARFAGRI;0;1;0;-38,6943186;-62,247165;;;;;;;;;;;;;;;;;
Universidad de Rio Cuarto;Argentine;2017-2018;ARFAGRI;0;1;0;-33,1145141;-64,3016674;;;;;;;;;;;;;;;;;
Universidad Nacional de Cuyo;Argentine;2017-2018;ARFAGRI;0;1;0;-34,6126638;-68,3271322;;;;;;;;;;;;;;;;;
Universidad de Baja California - ENSENADA ;Mexique;2017-2018;MEXFITEC;0;0;0;31,856224;-116,608461;;;;;;;;;;;;;;;;;
Universidad de Guadalajara ;Mexique;2017-2018;MEXFITEC;0;0;0;20,67534065;-103,3589859;;;;;;;;;;;;;;;;;
Universidade Federal do Rio de Janeiro;Brésil;2017-2018;BRAFITEC;0;1;0;-22,8533498;-43,2331703;;;;;;;;;;;;;;;;;
Universidade se Sao Paulo - ESALQ;Brésil;2017-2018;BRAFIAGRI;0;0;0;-23,5879351;-46,6514106;;;;;;;;;;;;;;;;;
Universidade Estadual de Londrina;Brésil;2017-2018;BRAFAGRI;0;0;0;23,3249735;-51,201804;;;;;;;;;;;;;;;;;
"Escola Superior de Agricultura ""Luiz de Queiroz"" ESALQ
";Brésil;2017-2018;BRAFAGRI;0;0;0;-22,7075612;-47,6286357;;;;;;;;;;;;;;;;;
Universidade Estadual Paulista Julio de Mesquita Filho - UNESP;Brésil;2017-2018;BRAFITEC;0;0;0;-23,98138809;-48,88452911;;;;;;;;;;;;;;;;;
Universidade Federal Rural de Pernambuco;Brésil;2017-2018;BRAFAGRI;0;0;0;-8,0145172;-34,9508334;;;;;;;;;;;;;;;;;
Institut National Agronomique de Tunis;Tunisie;2017-2018;;0;0;0;36,8305938;10,1829614;;;;;;;;;;;;;;;;;
Universitat Gottingen;Allemagne;2017-2018;ERASMUS;0;1;0;51,5592251;9,9524442;;;;;;;;;;;;;;;;;
Universitat zu Kiel;Allemagne;2017-2018;ERASMUS;0;1;0;54,3458218;10,113073;;;;;;;;;;;;;;;;;
Universitat Bonn;Allemagne;2017-2018;ERASMUS;0;1;0;50,7054928;7,1298492;;;;;;;;;;;;;;;;;
"Wageningen University
";Pays-bas;2017-2018;ERASMUS;0;2;0;51,985445;5,663212;;;;;;;;;;;;;;;;;
"Norwegian University of Life Sciences 
";Norvège;2017-2018;ERASMUS;0;0;0;59,667874;10,7617344;;;;;;;;;;;;;;;;;
NMBU;Norvège;2017-2018;ERASMUS;0;2;0;59,667874;10,7617344;;;;;;;;;;;;;;;;;
"Corvinus University 
";Hongrie;2017-2018;ERASMUS;0;0;0;47,4863023;19,0580989;;;;;;;;;;;;;;;;;
"Godollo
";Hongrie;2017-2018;ERASMUS;0;0;0;47,5937498;19,3633947;;;;;;;;;;;;;;;;;
"University of Helsinki 
";Finlande;2017-2018;ERASMUS;0;2;0;60,1756483;24,95355;;;;;;;;;;;;;;;;;
Lund University;Suède;2017-2018;ERASMUS;0;0;0;55,7126504;13,2107587;;;;;;;;;;;;;;;;;
"Universita degli Studi di Padoue 
";Italie;2017-2018;ERASMUS;0;3;0;45,4036716;11,8768208;;;;;;;;;;;;;;;;;
Universita Bologna;Italie;2017-2018;ERASMUS;0;1;0;44,4351271;11,4857979;;;;;;;;;;;;;;;;;
"SRUC
";Ecosse;2017-2018;ERASMUS;0;6;0;55,9214073;-3,1770584;;;;;;;;;;;;;;;;;
"Maich 
";Grèce;2017-2018;ERASMUS;0;0;0;35,51124;24,02921;;;;;;;;;;;;;;;;;
Kavala;Grèce;2017-2018;ERASMUS;0;6;0;40,9369224;24,4122766;;;;;;;;;;;;;;;;;
"Boku
";Autriche;2017-2018;ERASMUS;0;6;0;48,2365408;16,3361712;;;;;;;;;;;;;;;;;
Universiteit Gent ;Belgique;2017-2018;ERASMUS;0;2;0;51,0359404;3,7232481;;;;;;;;;;;;;;;;;
Universiteit Leuven ;Belgique;2017-2018;ERASMUS;0;0;0;50,87959;4,70093;;;;;;;;;;;;;;;;;
Czech University ;République Tchèque;2017-2018;ERASMUS;0;4;0;50,1301754;14,3737163;;;;;;;;;;;;;;;;;
Universidad Politecnica de Valence;Espagne;2017-2018;ERASMUS;0;2;0;39,33333;-0,83333;;;;;;;;;;;;;;;;;
Universitad Politecnica de Madrid ;Espagne;2017-2018;ERASMUS;0;0;0;40,4404332;-3,7310299;;;;;;;;;;;;;;;;;
Universidad de Lleida;Espagne;2017-2018;ERASMUS;0;0;0;41,61878;0,57472;;;;;;;;;;;;;;;;;
"Hong Kong University 
";Chine;2018-2019;Bilatéral;0;0;0;22,26861;114,12924;;;;;;;;;;;;;;;;;
University of Georgie;USA;2018-2019;Bilatéral;0;0;0;33,9404278;-83,373049;;;;;;;;;;;;;;;;;
Université Laval;Canada;2018-2019;Bilatéral;0;3;0;46,7815396;-71,2765369;;;;;;;;;;;;;;;;;
St Petersburg Polytechnic University;Russie;2018-2019;Bilatéral;0;0;0;60,005928;30,3767416;;;;;;;;;;;;;;;;;
Universidad Nacional Agraria La Molina;Pérou;2018-2019;Bilatéral;0;0;0;-12,0880691;76,9466135;;;;;;;;;;;;;;;;;
Universidad Nacional San Marco;Pérou;2018-2019;Bilatéral;0;0;0;-12,0575838;-77,08326;;;;;;;;;;;;;;;;;
Lincoln University;Nouvelle-Zélande;2018-2019;Bilatéral;0;2;0;-43,644314;172,4653325;;;;;;;;;;;;;;;;;
Auckland University;Nouvelle-Zélande;2018-2019;Bilatéral;0;1;0;-36,8660955;174,7737331;;;;;;;;;;;;;;;;;
University of Kwazulu-Natal;Afrique du Sud;2018-2019;Bilatéral;0;0;0;-29,8680551;30,978412;;;;;;;;;;;;;;;;;
Universidad Nacional de Quilmes;Argentine;2018-2019;ARFAGRI;0;1;0;-34,7063811;-58,2785207;;;;;;;;;;;;;;;;;
Universidad Nacional del Litoral;Argentine;2018-2019;ARFAGRI;0;0;0;-31,6346852;-60,7051461;;;;;;;;;;;;;;;;;
Universidad Nacional del Sur-Bahia Blanca;Argentine;2018-2019;ARFAGRI;0;0;0;-38,6943186;-62,247165;;;;;;;;;;;;;;;;;
Universidad de Rio Cuarto;Argentine;2018-2019;ARFAGRI;0;0;0;-33,1145141;-64,3016674;;;;;;;;;;;;;;;;;
Universidad Nacional de Cuyo;Argentine;2018-2019;ARFAGRI;0;0;0;-34,6126638;-68,3271322;;;;;;;;;;;;;;;;;
Universidad de Baja California - ENSENADA ;Mexique;2018-2019;MEXFITEC;0;0;0;31,856224;-116,608461;;;;;;;;;;;;;;;;;
Universidad de Guadalajara ;Mexique;2018-2019;MEXFITEC;0;0;0;20,67534065;-103,3589859;;;;;;;;;;;;;;;;;
Universidade Federal do Rio de Janeiro;Brésil;2018-2019;BRAFITEC;0;0;0;-22,8533498;-43,2331703;;;;;;;;;;;;;;;;;
Universidade se Sao Paulo - ESALQ;Brésil;2018-2019;BRAFIAGRI;0;1;0;-23,5879351;-46,6514106;;;;;;;;;;;;;;;;;
